                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.96652,                0.65783,                 1.0577,                0.99606,                      1,                  0.995,                0.40488,                 2.3836,                0.87608,                 2.1103,             0.00034175,             0.00034175,             0.00034175
                     69,                0.99918,                0.70569,                 1.1549,                0.94603,                   0.95,                0.94243,                  0.385,                 2.4226,                0.86932,                 2.1707,               0.000317,               0.000317,               0.000317
                     70,                0.91289,                0.62292,                 1.0444,                0.99586,                      1,                  0.995,                0.40233,                 2.4298,                0.86751,                 2.1854,             0.00029225,             0.00029225,             0.00029225
                     71,                0.88645,                0.70354,                 1.0553,                0.99578,                      1,                  0.995,                  0.402,                 2.4169,                0.88183,                 2.1494,              0.0002675,              0.0002675,              0.0002675
                     72,                0.83783,                0.71636,                 1.0395,                 0.9957,                      1,                  0.995,                0.42545,                 2.3933,                0.89182,                 2.1004,             0.00024275,             0.00024275,             0.00024275
                     73,                0.85924,                0.65791,                0.99011,                0.94556,                   0.95,                0.92781,                0.41703,                 2.3401,                0.91716,                 2.0385,               0.000218,               0.000218,               0.000218
                     74,                0.83685,                0.65678,                 1.0214,                0.99531,                      1,                  0.995,                0.42933,                 2.3197,                0.92501,                 2.0093,             0.00019325,             0.00019325,             0.00019325
                     75,                0.83382,                0.66492,                0.99344,                0.94576,                   0.95,                0.94035,                0.41385,                 2.3798,                0.93173,                 2.0461,              0.0001685,              0.0001685,              0.0001685
                     76,                0.84099,                0.66938,                0.99306,                0.89574,                    0.9,                0.87123,                0.39458,                 2.4011,                0.97548,                 2.0932,             0.00014375,             0.00014375,             0.00014375
                     77,                0.78582,                0.66816,                0.99475,                0.89592,                    0.9,                0.87121,                0.37628,                 2.4171,                0.97145,                 2.1336,               0.000119,               0.000119,               0.000119
                     78,                0.82691,                 0.6671,                 1.0407,                0.84623,                   0.85,                0.82127,                0.36128,                 2.4099,                0.95169,                 2.1508,              9.425e-05,              9.425e-05,              9.425e-05
                     79,                 0.7544,                0.63476,                0.98542,                0.84631,                   0.85,                0.82129,                0.37207,                 2.3977,                0.95107,                 2.1544,               6.95e-05,               6.95e-05,               6.95e-05
                     80,                0.86326,                0.64375,                 1.0139,                0.79653,                    0.8,                0.77706,                0.36011,                 2.4081,                0.95585,                 2.1778,              4.475e-05,              4.475e-05,              4.475e-05
